
Date: 24/04/2025 2:39:39 pm
Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAEXJ

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Wvl (nm)	 CH 1 	 CH 2 

1461.4160	-59.5199	-59.1015
1461.4240	-59.7346	-59.3125
1461.4320	-59.7092	-59.1791
1461.4400	-59.6251	-59.4735
1461.4480	-59.3481	-59.8724
1461.4560	-59.2357	-60.0000
1461.4640	-59.0261	-59.9340
1461.4720	-58.9550	-59.4032
1461.4800	-59.0450	-58.9855
1461.4880	-59.0558	-58.8658
1461.4960	-58.1276	-58.1269
1461.5040	-58.7281	-58.6468
1461.5120	-59.2589	-58.9130
1461.5200	-59.0566	-59.2110
1461.5280	-58.2045	-58.6128
1461.5360	-58.8847	-58.3234
1461.5440	-59.8869	-58.3952
1461.5520	-59.6251	-58.1871
1461.5600	-58.6468	-58.5693
1461.5680	-58.8339	-58.5925
1461.5760	-58.1211	-58.4141
1461.5840	-58.3706	-57.9877
1461.5920	-58.6701	-58.8803
1461.6000	-59.3778	-58.3350
1461.6080	-59.2879	-58.6149
1461.6160	-59.8920	-58.8209
1461.6240	-59.6657	-58.1610
1461.6320	-59.4627	-58.7107
1461.6400	-59.2379	-59.1929
1461.6480	-59.7498	-58.5852
1461.6560	-59.3270	-59.0798
1461.6640	-58.9398	-58.8586
1461.6720	-59.6563	-58.5932
1461.6800	-59.3720	-58.4416
1461.6880	-59.4699	-59.2357
1461.6960	-59.0152	-59.4119
1461.7040	-59.5685	-59.3851
1461.7120	-59.6780	-58.8173
1461.7200	-58.4525	-58.5518
1461.7280	-58.6976	-59.1755
1461.7360	-59.6157	-59.3880
1461.7440	-59.8898	-59.1900
1461.7520	-59.3336	-59.3713
1461.7600	-59.7527	-59.3205
1461.7680	-59.7774	-59.2640
1461.7760	-59.4938	-59.1537
1461.7840	-58.7339	-59.6265
1461.7920	-58.9043	-59.7962
1461.8000	-58.4909	-59.9253
1461.8080	-59.1878	-59.8593
1461.8160	-58.3662	-59.9326
1461.8240	-58.6846	-59.9130
1461.8320	-58.9036	-59.8100
1461.8400	-59.1864	-59.6135
1461.8480	-58.3125	-59.8100
1461.8560	-58.9144	-59.8238
1461.8640	-58.7056	-59.5359
1461.8720	-59.4387	-59.3104
1461.8800	-59.1044	-59.5823
1461.8880	-59.3872	-59.9761
1461.8960	-59.4293	-60.0000
1461.9040	-59.2821	-59.7056
1461.9120	-58.6744	-59.9224
1461.9200	-59.3800	-59.7237
1461.9280	-59.0181	-59.9391
1461.9360	-58.5946	-59.7948
1461.9440	-59.1429	-59.8796
1461.9520	-59.1255	-59.9579
1461.9600	-58.7687	-59.7607
1461.9680	-58.9717	-59.2893
1461.9760	-59.2444	-59.6853
1461.9840	-59.0827	-59.4141
1461.9920	-58.4278	-59.5823
1462.0000	-58.9297	-59.5961
1462.0080	-58.7825	-59.7078
1462.0160	-59.0914	-59.5460
1462.0240	-58.9732	-59.3619
1462.0320	-59.1313	-59.2451
1462.0400	-59.3379	-59.5460
1462.0480	-59.4003	-59.6773
1462.0560	-59.5112	-59.2074
1462.0640	-58.9500	-59.1349
1462.0720	-59.3299	-58.9645
1462.0800	-59.2734	-58.5076
1462.0880	-59.4090	-58.8049
1462.0960	-59.2864	-59.6352
1462.1040	-59.3909	-58.9231
1462.1120	-59.6207	-58.1574
1462.1200	-59.5431	-58.8658
1462.1280	-59.5693	-58.5678
1462.1360	-59.4757	-57.6541
1462.1440	-58.8934	-58.5540
1462.1520	-58.8651	-59.1407
1462.1600	-58.6229	-59.5547
1462.1680	-58.9703	-58.4460
1462.1760	-58.3227	-58.2487
1462.1840	-58.3590	-57.9456
1462.1920	-58.8709	-58.5323
1462.2000	-58.9637	-58.6309
1462.2080	-58.8992	-58.1400
1462.2160	-58.5424	-58.5047
1462.2240	-58.6867	-59.2212
1462.2320	-59.3328	-58.6555
1462.2400	-59.4619	-58.4590
1462.2480	-59.4996	-58.0413
1462.2560	-58.7542	-58.7825
1462.2640	-59.0732	-58.3981
1462.2720	-59.0602	-58.2168
1462.2800	-59.2088	-58.8006
1462.2880	-59.0261	-58.8144
1462.2960	-59.2589	-58.3887
1462.3040	-59.0529	-58.6033
1462.3120	-59.3981	-58.7672
1462.3200	-59.3241	-58.3437
1462.3280	-59.5025	-58.7607
1462.3360	-58.5475	-59.5257
1462.3440	-58.7904	-59.2386
1462.3520	-59.6135	-59.4032
1462.3600	-59.5925	-59.9391
1462.3680	-59.3176	-60.0000
1462.3760	-58.8194	-59.7368
1462.3840	-59.1958	-59.6077
1462.3920	-58.7614	-59.3350
1462.4000	-59.0993	-59.6650
1462.4080	-58.4866	-59.3089
1462.4160	-59.0051	-59.3778
1462.4240	-59.1305	-59.9659
1462.4320	-58.7875	-59.2400
1462.4400	-59.8165	-59.1595
1462.4480	-59.4612	-59.6454
1462.4560	-59.0138	-58.8260
1462.4640	-58.9318	-59.2183
1462.4720	-58.8405	-59.5199
1462.4800	-58.7621	-58.4126
1462.4880	-58.5018	-58.2364
1462.4960	-58.5903	-58.8622
1462.5040	-58.7462	-59.3234
1462.5120	-58.9021	-58.9478
1462.5200	-58.5671	-58.5083
1462.5280	-58.7578	-58.5504
1462.5360	-58.6476	-58.6896
1462.5440	-59.1530	-59.3082
1462.5520	-58.9898	-59.0029
1462.5600	-58.8513	-59.1639
1462.5680	-58.7803	-59.1298
1462.5760	-58.9072	-58.9601
1462.5840	-57.9224	-58.8028
1462.5920	-57.6701	-58.9572
1462.6000	-58.4808	-59.1342
1462.6080	-57.9239	-59.0682
1462.6160	-57.7012	-59.0421
1462.6240	-58.6773	-59.2386
1462.6320	-59.1168	-59.1022
1462.6400	-59.4141	-57.9898
1462.6480	-59.2567	-58.2915
1462.6560	-59.1356	-59.1400
1462.6640	-59.1748	-59.2690
1462.6720	-59.8078	-59.3437
1462.6800	-59.2647	-59.3843
1462.6880	-59.4663	-59.6120
1462.6960	-59.3771	-59.5286
1462.7040	-59.4873	-59.2241
1462.7120	-58.8970	-58.6331
1462.7200	-59.3822	-58.9630
1462.7280	-59.5881	-59.5337
1462.7360	-59.1740	-59.5424
1462.7440	-59.3764	-59.2966
1462.7520	-59.4155	-59.4946
1462.7600	-58.5954	-59.6389
1462.7680	-59.1827	-59.9724
1462.7760	-58.7223	-59.6004
1462.7840	-59.2009	-59.3205
1462.7920	-58.4605	-59.7585
1462.8000	-58.2408	-59.7970
1462.8080	-59.6171	-59.8318
1462.8160	-58.6236	-59.6157
1462.8240	-58.4017	-59.4576
1462.8320	-58.5468	-59.7926
1462.8400	-59.3154	-59.9971
1462.8480	-59.2625	-59.7977
1462.8560	-59.5054	-59.8898
1462.8640	-59.2009	-59.3430
1462.8720	-59.2415	-59.3822
1462.8800	-59.0297	-59.4677
1462.8880	-58.9101	-59.8194
1462.8960	-58.7984	-60.0000
1462.9040	-58.4518	-60.0000
1462.9120	-59.1653	-59.9746
1462.9200	-59.1624	-59.6236
1462.9280	-59.0239	-59.6041
1462.9360	-58.7832	-59.5722
1462.9440	-58.9369	-58.7991
1462.9520	-59.1653	-59.2937
1462.9600	-59.1088	-58.9050
1462.9680	-58.8832	-59.6846
1462.9760	-58.4772	-59.7745
1462.9840	-59.0935	-59.1704
1462.9920	-58.9674	-59.6468
1463.0000	-58.3720	-59.2922
1463.0080	-58.6490	-59.6867
1463.0160	-58.5373	-59.7223
1463.0240	-58.7730	-59.8644
1463.0320	-58.9855	-59.2248
1463.0400	-59.0580	-59.1197
1463.0480	-58.9115	-59.5076
1463.0560	-59.4967	-58.7752
1463.0640	-59.4677	-58.9645
1463.0720	-59.8550	-58.7614
1463.0800	-59.6128	-57.5881
1463.0880	-59.6236	-58.4772
1463.0960	-59.4772	-58.8883
1463.1040	-59.5613	-58.8680
1463.1120	-59.5772	-59.0993
1463.1200	-59.5366	-58.4946
1463.1280	-59.3053	-58.4387
1463.1360	-58.7085	-57.8368
1463.1440	-58.7194	-57.8216
1463.1520	-59.1914	-57.7491
1463.1600	-59.2009	-58.5040
1463.1680	-59.5366	-58.2429
1463.1760	-59.1697	-58.5562
1463.1840	-59.7563	-58.9434
1463.1920	-59.0537	-58.6106
1463.2000	-58.5243	-58.1987
1463.2080	-58.8513	-58.4017
1463.2160	-58.3713	-58.9304
1463.2240	-58.3590	-58.4728
1463.2320	-58.3162	-58.5664
1463.2400	-58.6954	-59.0856
1463.2480	-58.8905	-59.3546
1463.2560	-59.3597	-59.1080
1463.2640	-58.7962	-59.3814
1463.2720	-58.9645	-58.7128
1463.2800	-58.7578	-58.4264
1463.2880	-58.6316	-59.5105
1463.2960	-59.6722	-59.3909
1463.3040	-59.6483	-58.8745
1463.3120	-59.8927	-59.5076
1463.3200	-59.4264	-59.1690
1463.3280	-58.8274	-58.9833
1463.3360	-59.4257	-59.5033
1463.3440	-59.4547	-59.4394
1463.3520	-59.2698	-59.1494
1463.3600	-58.7208	-59.3793
1463.3680	-58.8506	-59.4083
1463.3760	-59.3408	-59.3452
1463.3840	-59.4075	-59.3633
1463.3920	-58.8231	-59.7150
1463.4000	-58.7056	-59.6410
1463.4080	-58.9007	-59.4764
1463.4160	-59.1690	-59.0065
1463.4240	-59.3009	-59.0065
1463.4320	-58.4859	-59.2371
1463.4400	-58.5395	-58.8985
1463.4480	-58.1088	-59.2712
1463.4560	-59.0819	-59.4670
1463.4640	-58.9985	-58.9804
1463.4720	-58.9775	-59.1951
1463.4800	-58.2589	-58.6251
1463.4880	-58.0972	-58.8064
1463.4960	-58.4112	-59.5286
1463.5040	-58.3539	-58.6759
1463.5120	-58.8368	-58.8876
1463.5200	-58.9449	-58.5489
1463.5280	-58.9434	-59.2944
1463.5360	-59.5330	-59.2741
1463.5440	-59.3133	-58.9065
1463.5520	-58.6229	-59.2915
1463.5600	-58.5373	-59.1965
1463.5680	-58.2422	-59.0769
1463.5760	-58.8303	-58.6940
1463.5840	-58.9224	-59.4663
1463.5920	-59.2741	-58.1320
1463.6000	-59.5772	-57.3785
1463.6080	-59.6526	-58.2893
1463.6160	-59.3031	-59.0986
1463.6240	-59.2995	-58.8318
1463.6320	-59.4068	-58.7382
1463.6400	-59.5526	-59.5874
1463.6480	-59.2342	-59.1508
1463.6560	-58.9645	-58.7288
1463.6640	-58.8267	-58.5577
1463.6720	-58.6809	-59.2669
1463.6800	-58.7774	-59.4525
1463.6880	-58.8057	-59.5250
1463.6960	-58.5504	-59.3974
1463.7040	-59.0761	-59.3669
1463.7120	-59.0377	-59.3416
1463.7200	-58.9181	-58.8325
1463.7280	-58.7600	-59.1153
1463.7360	-58.8600	-59.1392
1463.7440	-58.9108	-59.9500
1463.7520	-59.4960	-59.7861
1463.7600	-59.1545	-59.1305
1463.7680	-59.3684	-59.1102
1463.7760	-59.2364	-59.5932
1463.7840	-59.2553	-59.3024
1463.7920	-59.1646	-59.4844
1463.8000	-58.9101	-60.0000
1463.8080	-59.1342	-59.7556
1463.8160	-59.1073	-59.9449
1463.8240	-58.6780	-60.0000
1463.8320	-59.0167	-59.6679
1463.8400	-58.7085	-59.9862
1463.8480	-57.6664	-59.9115
1463.8560	-58.3198	-59.9202
1463.8640	-58.9608	-59.7556
1463.8720	-59.1900	-59.8949
1463.8800	-58.6236	-59.9993
1463.8880	-59.2292	-59.8252
1463.8960	-59.1552	-59.8970
1463.9040	-59.1327	-59.8412
1463.9120	-59.2545	-59.3147
1463.9200	-59.3713	-59.6186
1463.9280	-58.9942	-59.1740
1463.9360	-59.3807	-59.3387
1463.9440	-59.2930	-59.1987
1463.9520	-59.0450	-59.9108
1463.9600	-59.3096	-59.3263
1463.9680	-59.2632	-59.1479
1463.9760	-59.2335	-59.9463
1463.9840	-58.7208	-60.0000
1463.9920	-58.8470	-59.9942
1464.0000	-58.8637	-59.6628
1464.0080	-58.8231	-58.8811
1464.0160	-59.0718	-59.8064
1464.0240	-59.5598	-59.7317
1464.0320	-58.9391	-59.3292
1464.0400	-59.0174	-59.2893
1464.0480	-58.9594	-58.7005
1464.0560	-58.3031	-58.6302
1464.0640	-58.7970	-59.1450
1464.0720	-59.1197	-58.6534
1464.0800	-59.0486	-59.0892
1464.0880	-59.2103	-58.6526
1464.0960	-59.5323	-58.7607
1464.1040	-58.9869	-58.5091
1464.1120	-58.9688	-57.7418
1464.1200	-59.5968	-57.2248
1464.1280	-59.0558	-57.9340
1464.1360	-58.1581	-58.2669
1464.1440	-59.0160	-58.9478
1464.1520	-58.7643	-58.6715
1464.1600	-58.8593	-57.7447
1464.1680	-58.5896	-58.4293
1464.1760	-59.0928	-58.7041
1464.1840	-58.8687	-58.7447
1464.1920	-58.4525	-58.8339
1464.2000	-58.5228	-59.2393
1464.2080	-59.1298	-59.1552
1464.2160	-59.4104	-58.8905
1464.2240	-59.5518	-59.5381
1464.2320	-58.8252	-59.4844
1464.2400	-58.7368	-58.6389
1464.2480	-59.3655	-59.0363
1464.2560	-59.3793	-58.7977
1464.2640	-59.3633	-59.0435
1464.2720	-59.7078	-58.8231
1464.2800	-58.9326	-58.6802
1464.2880	-59.1929	-58.9478
1464.2960	-59.3604	-58.9869
1464.3040	-59.5627	-59.5018
1464.3120	-59.8078	-59.0798
1464.3200	-59.7875	-58.7520
1464.3280	-59.8542	-59.3901
1464.3360	-59.6476	-59.3814
1464.3440	-59.4902	-59.5257
1464.3520	-59.7774	-59.8738
1464.3600	-59.1566	-59.4010
1464.3680	-59.8231	-59.2197
1464.3760	-59.6824	-59.8064
1464.3840	-59.3024	-59.8934
1464.3920	-59.0827	-58.8571
1464.4000	-58.5033	-58.6991
1464.4080	-57.9500	-58.5431
1464.4160	-58.8695	-59.3401
1464.4240	-58.8477	-59.7157
1464.4320	-58.4017	-59.1922
1464.4400	-58.0036	-58.7484
1464.4480	-58.2321	-58.6461
1464.4560	-58.2843	-58.9079
1464.4640	-58.6759	-59.6070
1464.4720	-58.1682	-59.3742
1464.4800	-58.1030	-58.9108
1464.4880	-58.3111	-59.5816
1464.4960	-58.3996	-59.0413
1464.5040	-57.2748	-58.5417
1464.5120	-58.2016	-58.7078
1464.5200	-58.6200	-58.7295
1464.5280	-59.1820	-58.9645
1464.5360	-58.5946	-58.8825
1464.5440	-58.3930	-58.5439
1464.5520	-58.0167	-58.5344
1464.5600	-58.4054	-58.1015
1464.5680	-58.8782	-58.0392
1464.5760	-58.8260	-58.9340
1464.5840	-58.3162	-58.9710
1464.5920	-59.3394	-58.8513
1464.6000	-59.4619	-59.5112
1464.6080	-59.3590	-59.1784
1464.6160	-59.3263	-58.8521
1464.6240	-59.2654	-59.4837
1464.6320	-58.8216	-59.3038
1464.6400	-59.2770	-59.2183
1464.6480	-58.9891	-58.8499
1464.6560	-59.6599	-58.8832
1464.6640	-59.3379	-59.0174
1464.6720	-59.5830	-59.2995
1464.6800	-59.0645	-59.2654
1464.6880	-58.6577	-58.6149
1464.6960	-59.0334	-59.1218
1464.7040	-59.1617	-59.4416
1464.7120	-59.5286	-59.0674
1464.7200	-59.7012	-58.6969
1464.7280	-58.7672	-58.7679
1464.7360	-59.1842	-59.3568
1464.7440	-59.3677	-59.4453
1464.7520	-58.9449	-59.8100
1464.7600	-58.9086	-59.8412
1464.7680	-59.0885	-59.9036
1464.7760	-58.6360	-59.7578
1464.7840	-58.8231	-59.5221
1464.7920	-59.3981	-59.3183
1464.8000	-59.6628	-59.8209
1464.8080	-59.5286	-59.8934
1464.8160	-59.7128	-59.8687
1464.8240	-59.7600	-59.5033
1464.8320	-59.2001	-59.7447
1464.8400	-58.7230	-59.6933
1464.8480	-58.9587	-59.5910
1464.8560	-59.3162	-59.8593
1464.8640	-58.5417	-59.9362
1464.8720	-58.8448	-59.7585
1464.8800	-59.2328	-59.4960
1464.8880	-59.5809	-59.6207
1464.8960	-59.0312	-59.5308
1464.9040	-58.8281	-59.7933
1464.9120	-59.5642	-59.3575
1464.9200	-59.5671	-59.9384
1464.9280	-58.9282	-59.8129
1464.9360	-58.4387	-59.2466
1464.9440	-59.5388	-59.6759
1464.9520	-59.5874	-58.9159
1464.9600	-59.3575	-58.7418
1464.9680	-58.7397	-59.5439
1464.9760	-58.7890	-59.5569
1464.9840	-59.2574	-59.1117
1464.9920	-59.0073	-59.0000
1465.0000	-59.3307	-58.9485
1465.0080	-58.9543	-59.2661
1465.0160	-58.9050	-59.3756
1465.0240	-58.7803	-59.1472
1465.0320	-58.9101	-58.8245
1465.0400	-59.3938	-58.8542
1465.0480	-59.5243	-58.8586
1465.0560	-58.5286	-58.7056
1465.0640	-59.6323	-58.6135
1465.0720	-59.5620	-58.2625
1465.0800	-59.2589	-58.3800
1465.0880	-59.2966	-58.9072
1465.0960	-59.2219	-58.2922
1465.1040	-58.8579	-58.5286
1465.1120	-59.3988	-58.7846
1465.1200	-59.2944	-59.0247
1465.1280	-58.6541	-59.4975
1465.1360	-58.4003	-58.6722
1465.1440	-58.7687	-58.8883
1465.1520	-58.5236	-58.0500
1465.1600	-59.0290	-58.3822
1465.1680	-59.3241	-58.3452
1465.1760	-59.3959	-58.0406
1465.1840	-58.7665	-58.0305
1465.1920	-58.2719	-58.1392
1465.2000	-58.8644	-57.6033
1465.2080	-58.7215	-58.2270
1465.2160	-58.4061	-58.0334
